VR terms + general* + interaction,Included/Excluded 
,
virtual reality (350),I
human computer interaction (223),I
learning (artificial intelligence) (187),E
mobile robots (150),E
digital simulation (140),I
multi-agent systems (138),E
human-robot interaction (135),I
user interfaces (129),I
optimisation (123),E
power grids (117),E
augmented reality (108),I
haptic interfaces (101),I
Monte Carlo methods (95),E
control system synthesis (91),E
finite element analysis (91),E
data visualisation (87),E
plasma simulation (87),E
interactive systems (84),I
computer aided instruction (80),I
neural nets (79),E
power system stability (79),E
multi-robot systems (76),E
wind power plants (72),E
numerical analysis (71),E
graph theory (70),E
,
Total After Exclusion Topics Appled ,923