VR terms + transfer + train*,Included/Excluded 
,
learning (artificial intelligence) (574),E
neural nets (360),E
virtual reality (148),I
transfer functions (138),E
feature extraction (118),E
convolutional neural nets (101),E
medical image processing (101),E
image classification (100),E
computer based training (93),I
backpropagation (83),E
control engineering computing (74),E
optimisation (62),E
mobile robots (61),E
feedforward neural nets (59),E
power engineering computing (57),E
medical computing (55),I
robot vision (51),E
computer aided instruction (50),I
digital simulation (50),I
object detection (50),E
telecommunication computing (50),I
regression analysis (48),E
image segmentation (46),E
pattern classification (45),E
augmented reality (44),I
,
Total After Exclusion Topics Appled ,320