transfer ,,,,,,,,,,,,,
,"""augmented reality"".ti,ab.","""virtual reality"".ti,ab.","""mixed reality"".ti,ab.","""immersive reality"".ti,ab.","""immersive environment"".ti,ab.","""screen"".ti,ab.","simulator.ti,ab.","simulation.ti,ab.","simulates.ti,ab.","simulators.ti,ab.","simulations.ti,ab.","""head mounted display"".ti,ab.","HMD.ti,ab."
"transfer.ti,ab.",,,,,,,,,,,,,
"skill*.ti,ab.",,,,,,,,,,,,,
"learn*.ti,ab.",,,,,,,,,,,,,
"train*.ti,ab.",,,,,,,,,,,,,
"adapt*.ti,ab.",,,,,,,,,,,,,
"acquisition.ti,ab.",,,,,,,,,,,,,
"action.ti,ab.",,,,,,,,,,,,,
"motor.ti,ab.",,,,,,,,,,,,,
"visuomotor.ti,ab.",,,,,,,,,,,,,
"sensorimotor.ti,ab.",,,,,,,,,,,,,
"memory.ti,ab.",,,,,,,,,,,,,
"interaction.ti,ab.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Generali*,,,,,,,,,,,,,
,"""augmented reality"".ti,ab.","""virtual reality"".ti,ab.","""mixed reality"".ti,ab.","""immersive reality"".ti,ab.","""immersive environment"".ti,ab.","""screen"".ti,ab.","simulator.ti,ab.","simulation.ti,ab.","simulates.ti,ab.","simulators.ti,ab.","simulations.ti,ab.","""head mounted display"".ti,ab.","HMD.ti,ab."
"generali*.ti,ab.",,,,,,,,,,,,,
"skill*.ti,ab.",,,,,,,,,,,,,
"learn*.ti,ab.",,,,,,,,,,,,,
"train*.ti,ab.",,,,,,,,,,,,,
"adapt*.ti,ab.",,,,,,,,,,,,,
"acquisition.ti,ab.",,,,,,,,,,,,,
"action.ti,ab.",,,,,,,,,,,,,
"motor.ti,ab.",,,,,,,,,,,,,
"visuomotor.ti,ab.",,,,,,,,,,,,,
"sensorimotor.ti,ab.",,,,,,,,,,,,,
"memory.ti,ab.",,,,,,,,,,,,,
"interaction.ti,ab.",,,,,,,,,,,,,