Results by Discipline,,
,,
Engineering,"40,754",
Computer Science ,"27,817",
Physics and Astronomy,"18,905",
Mathematics,"14,446",
Materials Science,"10,350",
Chemistry,"9,329",
"Biochemistry, Genetics and Molecular Biology","8,005",
Earth and Planetary Sciences,"6,483",
Chemical Engineering,"6,090",
Medicine,"5,870",
Energy,"5,686",
Environmental Science,"4,689",
Social Sciences,"3,674",
Agricultural and Biological Sciences,"3,445",
Neuroscience,"2,660",
Decision Sciences,"1,810",
Multidisciplinary,"1,475",
Psychology,"1,458",
"Pharmacology, Toxicology and Pharmaceutics","1,051",
Health Professions,932,
Arts and Humanities,902,
Immunology and Microbiology,822,
"Business, Management and Accounting",815,
"Economics, Econometrics and Finance",399,
Nursing,323,
Dentistry,63,
Veterinary,43,
Undefined,15,
,,
,,
,,
,,
,,
,,