Results by Subject Area,,
Subject Area,Results,Included/Excluded
Engineering,"40,754",I 
Computer Science ,"27,817",I 
Physics and Astronomy,"18,905",E
Mathematics,"14,446",E
Materials Science,"10,350",E
Chemistry,"9,329",E
"Biochemistry, Genetics and Molecular Biology","8,005",E
Earth and Planetary Sciences,"6,483",E
Chemical Engineering,"6,090",E
Medicine,"5,870",I 
Energy,"5,686",E
Environmental Science,"4,689",E
Social Sciences,"3,674",I
Agricultural and Biological Sciences,"3,445",E
Neuroscience,"2,660",I 
Decision Sciences,"1,810",I
Multidisciplinary,"1,475",I
Psychology,"1,458",I
"Pharmacology, Toxicology and Pharmaceutics","1,051",E
Health Professions,932,I
Arts and Humanities,902,E
Immunology and Microbiology,822,E
"Business, Management and Accounting",815,E
"Economics, Econometrics and Finance",399,E
Nursing,323,I
Dentistry,63,I
Veterinary,43,E
Undefined,15,I 
,,
Results by Keywords ,,
Keyword(s),Results,Included/Excluded
"Computer SimulationShow preview for(13,467)","13,467",
"ArticleShow preview for(8,047)","8,047",
"HumanShow preview for(5,564)","5,564",
"AlgorithmsShow preview for(4,933)","4,933",
"HumansShow preview for(4,767)","4,767",
"Heat TransferShow preview for(3,916)","3,916",
"Mathematical ModelsShow preview for(3,589)","3,589",
"Priority JournalShow preview for(3,483)","3,483",
"Neural NetworksShow preview for(3,311)","3,311",
"SimulationShow preview for(3,291)","3,291",
"Controlled StudyShow preview for(2,748)","2,748",
"Learning SystemsShow preview for(2,612)","2,612",
"MaleShow preview for(2,508)","2,508",
"Virtual RealityShow preview for(2,494)","2,494",
"FemaleShow preview for(2,405)","2,405",
"OptimizationShow preview for(2,230)","2,230",
"Data TransferShow preview for(2,100)","2,100",
"Transfer FunctionsShow preview for(2,092)","2,092",
"AdultShow preview for(2,030)","2,030",
"Energy TransferShow preview for(1,999)","1,999",
"AlgorithmShow preview for(1,814)","1,814",
"Computational Fluid DynamicsShow preview for(1,771)","1,771",
"Learning AlgorithmsShow preview for(1,612)","1,612",
"PhysiologyShow preview for(1,521)","1,521",
"Finite Element MethodShow preview for(1,518)","1,518",
"Adaptive Control SystemsShow preview for(1,410)","1,410",
"Artificial IntelligenceShow preview for(1,326)","1,326",
"AnimalsShow preview for(1,298)","1,298",
"Numerical MethodsShow preview for(1,289)","1,289",
"ProceduresShow preview for(1,286)","1,286",
"Molecular DynamicsShow preview for(1,276)","1,276",
"Signal ProcessingShow preview for(1,265)","1,265",
"NonhumanShow preview for(1,250)","1,250",
"Monte Carlo MethodsShow preview for(1,221)","1,221",
"LearningShow preview for(1,217)","1,217",
"ControllersShow preview for(1,201)","1,201",
"Mass TransferShow preview for(1,184)","1,184",
"Machine LearningShow preview for(1,182)","1,182",
"Data AcquisitionShow preview for(1,110)","1,110",
"Biological ModelShow preview for(1,064)","1,064",
"Deep LearningShow preview for(1,047)","1,047",
"Parameter EstimationShow preview for(1,042)","1,042",
"Iterative MethodsShow preview for(1,026)","1,026",
"ForecastingShow preview for(1,009)","1,009",
"Artificial Neural NetworkShow preview for(1,008)","1,008",
"EducationShow preview for(1,005)","1,005",
"ChemistryShow preview for(1,001)","1,001",
MethodologyShow preview for(981),981,
Computer SoftwareShow preview for(962),962,
RoboticsShow preview for(949),949,
AnimalShow preview for(940),940,
Reinforcement LearningShow preview for(870),870,
MetabolismShow preview for(860),860,
Regression AnalysisShow preview for(833),833,
Problem SolvingShow preview for(813),813,
Image ProcessingShow preview for(800),800,
Human ExperimentShow preview for(774),774,
DynamicsShow preview for(772),772,
Technology TransferShow preview for(772),772,
Reynolds NumberShow preview for(768),768,
"Models, BiologicalShow preview for(766)",766,
ProbabilityShow preview for(755),755,
Statistical ModelShow preview for(755),755,
Asynchronous Transfer ModeShow preview for(747),747,
Transfer LearningShow preview for(723),723,
Matrix AlgebraShow preview for(714),714,
DesignShow preview for(703),703,
Task PerformanceShow preview for(700),700,
BandwidthShow preview for(691),691,
VectorsShow preview for(687),687,
Decision MakingShow preview for(683),683,
Energy EfficiencyShow preview for(678),678,
Mathematical ModelShow preview for(667),667,
Signal To Noise RatioShow preview for(662),662,
Adaptive AlgorithmsShow preview for(656),656,
Optical Transfer FunctionShow preview for(653),653,
Wireless Telecommunication SystemsShow preview for(645),645,
Comparative StudyShow preview for(644),644,
RobotsShow preview for(640),640,
Young AdultShow preview for(639),639,
Computational ComplexityShow preview for(637),637,
Normal HumanShow preview for(628),628,
"Models, NeurologicalShow preview for(625)",,
Navier Stokes EquationsShow preview for(625),,
MATLABShow preview for(624),,
Numerical ModelsShow preview for(621),,
BrainShow preview for(620),,
Telecommunication TrafficShow preview for(611),,
TurbulenceShow preview for(605),,
CoolingShow preview for(603),,
Reproducibility Of ResultsShow preview for(601),,
Genetic AlgorithmsShow preview for(599),,
EstimationShow preview for(591),,
FeedbackShow preview for(590),,
PredictionShow preview for(590),,
Stochastic SystemsShow preview for(589),,
Network ProtocolsShow preview for(588),,
Adaptive FilteringShow preview for(582),,
Image ReconstructionShow preview for(581),,
Computational MethodsShow preview for(579),,
ThermodynamicsShow preview for(578),,
Intelligent SystemsShow preview for(573),,
Energy UtilizationShow preview for(572),,
TeachingShow preview for(572),,
Clinical CompetenceShow preview for(568),,
Data Communication SystemsShow preview for(565),,
Pattern RecognitionShow preview for(563),,
Quality Of ServiceShow preview for(562),,
Middle AgedShow preview for(560),,
Unclassified DrugShow preview for(555),,
BackpropagationShow preview for(553),,
NeuronsShow preview for(553),,
Communication Channels (information Theory)Show preview for(552),,
ErrorsShow preview for(549),,
Support Vector MachinesShow preview for(545),,
Numerical SimulationShow preview for(535),,
Three DimensionalShow preview for(522),,
GeneticsShow preview for(520),,
Heat FluxShow preview for(519),,
PerformanceShow preview for(517),,
Turbulent FlowShow preview for(517),,
StudentsShow preview for(516),,
GeometryShow preview for(512),,
Approximation TheoryShow preview for(510),,
TemperatureShow preview for(508),,
Computer ArchitectureShow preview for(507),,
SimulatorsShow preview for(506),,
Molecular Dynamics SimulationShow preview for(505),,
Predictive Control SystemsShow preview for(502),,
"Models, StatisticalShow preview for(498)",,
Time Domain AnalysisShow preview for(497),,
Numerical ModelShow preview for(494),,
Computation TheoryShow preview for(492),,
Generalization AbilityShow preview for(492),,
Adaptive ControlShow preview for(491),,
System StabilityShow preview for(491),,
KineticsShow preview for(490),,
ReproducibilityShow preview for(487),,
Convergence Of Numerical MethodsShow preview for(486),,
Flow Of FluidsShow preview for(486),,
SensorsShow preview for(480),,
Protein BindingShow preview for(479),,
Mathematical ComputingShow preview for(476),,
Uncertainty AnalysisShow preview for(476),,
Degrees Of Freedom (mechanics)Show preview for(470),,
E-learningShow preview for(470),,
Human Computer InteractionShow preview for(470),,
Neural Networks (Computer)Show preview for(468),,
Simulation ResultShow preview for(468),,
Image EnhancementShow preview for(467),,
Image QualityShow preview for(465),,
Control SystemsShow preview for(464),,
EfficiencyShow preview for(464),,
Personnel TrainingShow preview for(463),,
Least Squares ApproximationsShow preview for(462),,
Real Time SystemsShow preview for(461),,
Clinical ArticleShow preview for(458),,
Medical EducationShow preview for(458),,
ModelingShow preview for(458),,
Inverse ProblemsShow preview for(454),,